Название,ID,Тип_алкоголя,Категория,Изображение,Бокал,Ингредиент1,Ингредиент2,Ингредиент3,Ингредиент4,Ингредиент5,Инструкция,Мера1,Мера2
9 1/2 Weeks,16108,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,Коктейльный бокал,Absolut Citron,Orange Curacao,Strawberry liqueur,Orange juice,0,Смешайте все ингредиенты в стеклянном миксере. Охладите и напрягайтесь в коктейль -стакане. Украсить с нарезанной клубникой.,2 унция ,1/2 унция 
A Day at the Beach,15200,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,Хайбол,Coconut rum,Amaretto,Orange juice,Grenadine,0,"Встряхните ром, амаретто и апельсиновый сок в шейкере, наполненном льдом. Процедить льдом в бокал с высоким мячом. Добавьте гренадин и гарнир с помощью ананасового клина и клубники.",1 унция ,1/2 унция 
A Furlong Too Late,11000,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,Хайбол,Light rum,Ginger beer,Lemon peel,0,0,"Вылейте ром и имбирное пиво в бокал с высоким мячом, почти наполненный кубиками льда. Хорошо перемешать. Украсить с лимонным поворотом.",2 унция ,4 унция 
A Gilligan's Island,16943,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,Коллинз,Vodka,Peach schnapps,Orange juice,Cranberry juice,0,"Встряхивая, не перемешан!",1 унция ,1 унция 
A Night In Old Mandalay,11001,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,Хайбол,Light rum,Añejo rum,Orange juice,Lemon juice,Ginger ale,"В шейкере, наполовину заполненном кубиками льда, комбинируйте легкий ром, ром Аньехо, апельсиновый сок и лимонный сок. Встряхнуть хорошо. Процедить в бокал с высоким мячом, почти наполненным кубиками льда. Вершина с имбирным элем. Украсить с лимонным поворотом.",1 унция ,1 унция 
A Piece of Ass,16405,Алкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,Хайбол,Amaretto,Southern Comfort,Ice,Sour mix,0,Положите лед в стекло. Вылейте в снимки. Заполнить кислым миксом.,1 шот ,1 шот 
A Splash of Nash,14564,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,Хайбол,Cranberry juice,Soda water,Midori melon liqueur,Creme de Banane,0,"Стакан с выстрелом с банановыми и дынями в 9 унций с высоким мячом, содержащим газированную воду и клюквенный сок. Выпей в один выстрел.",2 унция ,2 унция 
A True Amaretto Sour,17005,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,Олд-фэшн,Amaretto,Lemon,Ice,Maraschino cherry,0,"Потратьте обод старомодного стакана с лимоном и неоднократно окунитесь в сахар, пока у него не будет хорошего «замороженного» обода. Встряхните джигг Амаретто с соком 1/2 лимона. Процедить в стекло и добавить лед. Украсить с вишней марахино.",1 джиггер ,Juice of 1/2 
A midsummernight dream,15675,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg,Collins Glass,Vodka,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,"Смешайте клубники в блендере, вылейте ее вместе с водкой, кирч и клубничным вином на льду в шейкере. Встряхните хорошо и налейте в высокий балл. Заполнить русхийской водой",2 унция ,1 унция 
A. J.,11002,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg,Коктейльный бокал,Applejack,Grapefruit juice,0,0,0,"Встряхните ингредиенты со льдом, напрягайтесь в коктейльный стакан и подайте.",1 1/2 унция ,1 унция 
A.D.M. (After Dinner Mint),14560,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,Кружка для айриш кофе,White Creme de Menthe,Southern Comfort,Vodka,Hot chocolate,0,Встряхнуть энергично,1/2 унция ,3/4 унция 
A1,17222,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Коктейльный бокал,Gin,Grand Marnier,Lemon Juice,Grenadine,0,"Вылейте все ингредиенты в коктейльный шейкер, перемешайте и подайте по льду в охлажденный стакан.",1 3/4 шот ,1 Shot 
ABC,13501,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Шот,Amaretto,Bailey's irish cream,Cognac,0,0,Слои в стекляне.,1/3 ,1/3 
ACID,14610,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,Шот,151 proof rum,Wild Turkey,0,0,0,Бедные в 151 впервые с последующим 101 подают с кока -колой или доктором Пеппер.,1 унция Bacardi ,1 унция 
AT&T,13938,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Highball Glass,Absolut Vodka,Gin,Tonic water,0,0,"Налейте водку и джин на лед, добавьте тоник и перемешайте",1 унция ,1 унция 
Abbey Cocktail,11003,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,Коктейльный бокал,Gin,Orange bitters,Orange,Cherry,0,Встряхните все ингредиенты (за исключением вишни) со льдом и напрягайтесь в коктейль -стакане. Вершина с вишней и подавать.,1 1/2 унция ,1 дэш 
Abbey Martini,17223,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,Коктейльный бокал,Gin,Sweet Vermouth,Orange Juice,Angostura Bitters,0,"Поместите все ингредиенты в шейкер и перемешайте, затем разделите содержимое в охлажденный коктейльный стакан.",2 shots ,1 шот 
Abilene,11004,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,Хайбол,Dark rum,Peach nectar,Orange juice,0,0,"Вылейте все ингредиенты в бокал с высоким током, почти наполненным кубиками льда. Хорошо перемешать.",1 1/2 унция ,2 унция 
Absinthe #2,12790,Алкогольный,Домашний ликер,http://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg,Jar,Vodka,Sugar,Anise,Licorice root,Wormwood,"Смешайте и позвольте сесть несколько дней. Процедить через кофейный фильтр. Чтобы подать смешан 1 часть абсент с 4 частями воды, добавьте лед, наслаждайтесь.",1 бутылка ,50 грамм 
Absolut Evergreen,14374,Алкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg,Collins Glass,Absolut Citron,Pisang Ambon,Ice,Bitter lemon,0,"Смешайте, налейте на лед и наполните горьким лимоном.",2/3 часть ,1/3 часть 
Absolut Sex,14360,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,Олд-фэшн,Absolut Kurant,Midori melon liqueur,Cranberry juice,Sprite,0,"Встряхните Absolut Kurant, Midori и клюквенный сок в шейкере со льдом: напряжение в стеклянном стекле: Splash of Seven Top. Absolut Sex.",3/4 унция ,3/4 унция 
Absolut Stress #2,15597,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg,Collins Glass,Absolut Vodka,Peach schnapps,Coconut liqueur,Cranberry juice,Pineapple juice,Хорошо перемешать. Украсить апельсином и вишней. Наслаждаться,1 1/2 унция ,1/2 унция 
Absolut Summertime,14107,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,Коллинз,Absolut Citron,Sweet and sour,Sprite,Soda water,Lemon,"Добавьте все ингредиенты, кроме лимона в шейкер, наполненный льдом. Накрыть и энергично встряхнуть. Процедить содержимое в ледяное стекло Коллинза. Украсить лимоном.",1 1/2 унция ,3/4 унция 
Absolut limousine,14372,Алкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/ssqpyw1472719844.jpg,Collins Glass,Absolut Citron,Lime juice,Ice,Tonic water,0,Заполните абсолют в стакан. Добавить сок лайма. Добавить ледяные и лаймовые клинья.,2/3 ,1/3 
Absolutely Cranberry Smash,15024,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,Коктейльный бокал,Absolut Vodka,Cranberry juice,Ginger ale,Ice,0,Размешайте ингредиенты вместе. Подавать над льдом.,2 унция ,4 унция 
Absolutely Fabulous,17224,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,Флюте,Vodka,Cranberry Juice,Champagne,0,0,Смешайте водку и клюквенный сок вместе в шейкере и напрягайтесь в стакане. Пополнить шампанским.,1 шот ,2 shots 
Absolutly Screwed Up,16134,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,Коллинз,Absolut Citron,Orange juice,Triple sec,Ginger ale,0,"Встряхните его на вкус лучше, но вы можете перемешать, если хотите. 6 из них, и вы будете потрачены впустую до конца ночи.",1 шот ,1 шот 
Acapulco,11005,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,Олд-фэшн,Light rum,Triple sec,Lime juice,Sugar,Egg white,Смешайте и встряхните все ингредиенты (кроме мяты) со льдом и напрягайтесь в старомодном стакане над кубиками льда. Добавьте веточку мяты и подайте.,1 1/2 унция ,1 1/2 чайная ложка 
Ace,17225,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Martini Glass,Gin,Grenadine,Heavy cream,Milk,Egg White,"Встряхните все ингредиенты в коктейльном шейкере и льду, а затем напрягайтесь в холодном стакане.",2 shots ,1/2 шот 
Adam,11006,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,Коктейльный бокал,Dark rum,Lemon juice,Grenadine,0,0,"В шейкере, наполовину заполненном кубиками льда, объедините все ингредиенты. Встряхнуть хорошо. Процедить в коктейльный стакан.",2 унция ,1 унция 
Adam & Eve,17226,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,Коктейльный бокал,Gin,Cognac,Creme de Cassis,Fresh Lemon Juice,0,Встряхните все ингредиенты и напрягайтесь в холодное стекло.,1 шот ,1 шот 
Adam Bomb,16333,Алкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,Маргарита,Rum,Vodka,Tequila,Triple sec,Fruit,"Добавьте лед в блендер (или в стекло, если предпочитают на скалах), затем фрукты и фрукский сок в зависимости от личной предварительности, затем добавьте ром, водку, текилу и тройную секунду. Смешайте до гладкого стекла обода с сахаром или солью и вылейте смесь. Украсить лимонным или лимонным ломтиком.",1 часть ,1 часть 
Adam Sunrise,15567,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,Collins Glass,Vodka,Lemonade,Water,Sugar,0,"Наполните блендер льдом. Заполните наполовину водкой Бартон. Поместите 10 чайной ложки сахара, добавьте 1/2 банки концентрата лимонада, наполните вверх до воды. Смесь в течение 60 секунд.",1/2 ,1/2 банка 
Addington,17227,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,Коктейльный бокал,Sweet Vermouth,Dry Vermouth,Soda Water,0,0,Смешайте оба вермута в шейкере и напрягайтесь в холодном стекле. Пополнить спеткой газированной воды.,2 shots ,1 шот 
Addison,17228,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Martini Glass,Gin,Vermouth,0,0,0,Встряхните все ингредиенты и напрягайтесь в холодное стекло.,1 1/2 шот ,1 1/2 шот 
Addison Special,14272,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,Олд-фэшн,Vodka,Grenadine,Orange juice,0,0,"Объедините ингредиенты в заказе, перечисленном в шейкер. Заполните наполовину льдом и хорошо встряхните. Процедить в стекло со льдом и украсить вишней и апельсиновым клином.",1 шот ,1 столовая ложка 
Adios Amigos Cocktail,17229,Алкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,Martini Glass,Rum,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Встряхните все ингредиенты и напрягайтесь в холодное стекло.,1 шот ,1/2 шот 
Adonis Cocktail,11007,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,Коктейльный бокал,Sweet Vermouth,Sherry,Orange bitters,0,0,"Размешайте все ингредиенты со льдом, напрягайте содержимое в коктейльный стакан и подайте.",3/4 унция ,1 1/2 унция dry 
Affair,11008,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/wxrsxx1472720734.jpg,Хайбол,Strawberry schnapps,Orange juice,Cranberry juice,Club soda,0,"Залейте шнапс, апельсиновый сок и клюквенной сок на лед в бокале с высоким мячом. Вершина с клубной газировкой и подачи.",2 унция ,2 унция 
Affinity,11009,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/nwatpb1504817045.jpg,Коктейльный бокал,Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,0,"В смешанном стекле, наполовину заполненном кубиками льда, объедините все ингредиенты. Хорошо перемешать. Процедить в коктейльный стакан.",1 1/2 унция ,1 унция 
After Dinner Cocktail,11010,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,Коктейльный бокал,Apricot brandy,Triple sec,Lime,Lime,0,Встряхните все ингредиенты (кроме лаймового клина) со льдом и напрягайтесь в коктейльный стакан. Добавьте клин лайма и подайте.,1 унция ,1 унция 
After Five,13807,Алкогольный,Шот,http://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg,Шот,Peppermint schnapps,Kahlua,Bailey's irish cream,0,0,"1. Налейте кальуа в выстрел, примерно на 1/2 полного. 2. Используя ложку (перевернутую), медленно вылейте шнапс мяты, пока стекло не заполнится примерно на 3/4. Сделано правильно, шнапс будет течь под калуа для четкого слоя. 3. Опять же, используя ложку, но на этот раз правой стороны вверх, медленно превзойдя стекло слоем Бейли. Будьте осторожны, чтобы поместить ложку прямо на вершине слоя Калуа и поднять ее, когда стакан заполняется. Сделано правильно, это обеспечит слой плавания Бейли над Калуа. 4. Бросьте все сразу для чего -то вроде перечной патти, с ура !!! Примечание: лучше всего, если все ингредиенты охлаждены","
","
"
After Supper Cocktail,11011,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg,Коктейльный бокал,Triple sec,Apricot brandy,Lemon juice,0,0,"Встряхните все ингредиенты со льдом, напрягайтесь в коктейльный стакан и подайте.",1 унция ,1 унция 
After sex,15182,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Хайбол,Vodka,Creme de Banane,Orange juice,0,0,Вылейте водку и крем на кубики льда в высокий стакан и наполните соком. Чтобы сделать его полным,2 сантилитр ,1 сантилитр 
Afterglow,12560,Безалкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Highball Glass,Grenadine,Orange juice,Pineapple juice,0,0,Смешивание. Подавать над льдом.,1 часть ,4 parts 
Afternoon,13162,Алкогольный,Кофе/Чай,http://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Collins Glass,Kahlua,Bailey's irish cream,Frangelico,Coffee,Cream,"Встройте в бокал, без льда. Крем сверху, если хотите. Служил напрямую.",1 сантилитр ,1 сантилитр 
Alabama Slammer,11012,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg,Хайбол,Southern Comfort,Amaretto,Sloe gin,Lemon juice,0,"Вылейте все ингредиенты (за исключением лимонного сока) на льду в бокал с высоким мячом. Перемешайте, добавьте немного лимонного сока и подайте.",1 унция ,1 унция 
Alaska Cocktail,11013,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,Коктейльный бокал,Orange bitters,Gin,Yellow Chartreuse,Lemon peel,0,"Размешайте все ингредиенты со льдом, напрягайте содержимое в коктейльный стакан. Погрузитесь в поворот лимона и подайте.",2 dashes ,1 1/2 унция 
Alexander,11014,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,Коктейльный бокал,Gin,Creme de Cacao,Light cream,Nutmeg,0,Встряхните все ингредиенты со льдом и напрягайте содержимое в коктейльный стакан. Посыпать мускатный орех сверху и подавать.,1/2 унция ,1/2 унция white 
Alfie Cocktail,11019,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,Коктейльный бокал,Lemon vodka,Triple sec,Pineapple juice,0,0,"Смешайте и встряхните все ингредиенты со льдом, напрягайтесь в коктейль -стакане и подайте.",1 1/2 унция ,1 дэш 
Algonquin,11020,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Коктейльный бокал,Blended whiskey,Dry Vermouth,Pineapple juice,0,0,"Смешайте и встряхните все ингредиенты со льдом, напрягайте содержимое в коктейльный стакан и подайте.",1 1/2 унция ,1 унция 
Alice Cocktail,12562,Безалкогольный,Коктейль,http://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg,Коктейльный бокал,Grenadine,Orange juice,Pineapple juice,Cream,0,"Встряхните хорошо, напрягайтесь в большой коктейльный стакан.",1 сантилитр ,1 сантилитр 
Alice in Wonderland,17094,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg,Collins Glass,Amaretto,Grand Marnier,Southern Comfort,0,0,Просто смешайте три ингредиента от одного к одному.,1 шот ,1 шот 
Allegheny,11021,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Коктейльный бокал,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,Встряхните все ингредиенты (кроме лимонной кожуры) со льдом и напрягайтесь в коктейль -стакане. Вершина с поворотом лимонной кожуры и подачи.,1 унция ,1 унция 
Allies Cocktail,11022,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg,Коктейльный бокал,Dry Vermouth,Gin,Kummel,0,0,"Размешайте все ингредиенты со льдом, напрягайте содержимое в коктейльный стакан и подайте.",1 унция ,1 унция 
Almeria,11023,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Коктейльный бокал,Dark rum,Kahlua,Egg white,0,0,"В шейкере, наполовину заполненном кубиками льда, объедините все ингредиенты. Встряхнуть хорошо. Процедить в коктейльный стакан.",2 унция ,1 унция 
Almond Chocolate Coffee,16082,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg,Кофейная кружка,Amaretto,Dark Creme de Cacao,Coffee,0,0,Вылейте в кофейную чашку. Вершина с взбитым кремом и шоколадным шезлом.,3/4 унция ,1/2 унция 
Almond Joy,11024,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg,Коктейльный бокал,Amaretto,Creme de Cacao,Light cream,0,0,"Встряхните все ингредиенты со льдом, напрягайтесь в коктейльный стакан и подайте.",1/2 унция ,1/2 унция white 
Aloha Fruit punch,12862,Безалкогольный,Пунш,http://www.thecocktaildb.com/images/media/drink/wsyvrt1468876267.jpg,Collins Glass,Water,Ginger,Guava juice,Lemon juice,Pineapple,"Добавьте 1/4 стакана воды в корень имбиря. Варить 3 минуты. Напряжение. Добавьте жидкость в соки гуавы, лимона и ананаса. Сделайте сироп с сахаром и оставшейся водой. Прохладный. В сочетании с соками и ананасом. Охлаждает.",3/4 чашка ,2 чайная ложка 
Amaretto And Cream,11025,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg,Коктейльный бокал,Amaretto,Light cream,0,0,0,"Хорошо встряхните с потрескавшимся льдом, напрягайте содержимое в коктейльный стакан и подайте.",1 1/2 унция ,1 1/2 унция 
Amaretto Liqueur,12792,Алкогольный,Домашний ликер,http://www.thecocktaildb.com/images/media/drink/swqxuv1472719649.jpg,Collins Glass,Sugar,Water,Apricot,Almond flavoring,Grain alcohol,"Смешайте сахар и 3/4 стакана воды в маленькой кастрюле. Доведите до кипения, постоянно помешивая. Уменьшите огонь и варите, пока весь сахар не растворится. Снимите с огня и охладите. В стареющем контейнере комбинируйте половинки абрикоса, миндальный экстракт, зерновой спирт с 1/2 стакана воды и бренди. Добавьте охлажденную смесь сахарного сиропа. Кепку и пусть возраст в течение 2 дней. Удалить абрикосовые половинки. (Сохранить абрикосовые половинки, могут использоваться для приготовления пищи). Добавьте пищевую окраску и глицерин. Перемешайте, резюме и продолжайте старение в течение 1-2 месяцев. Переуплатить по желанию. Ликер готов к обслуживанию, но будет продолжать улучшаться с помощью дополнительного старения.",1 чашка,3/4 чашка 
Amaretto Mist,11026,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg,Олд-фэшн,Amaretto,Lime,0,0,0,"Налейте амаретто в старомодный стакан над измельченным льдом. Добавьте клин лайма и подайте. (Клин с лимоном может быть заменен извести, если предпочтительнее.)",1 1/2 унция ,1 
Amaretto Rose,11027,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg,Коллинз,Amaretto,Lime juice,Club soda,0,0,Вылейте амаретто и сок лайма на лед в стакан Коллинза. Заполните клубной газировкой и подайте.,1 1/2 унция ,1/2 унция 
Amaretto Shake,15194,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,Collins Glass,Chocolate ice-cream,Brandy,Amaretto,0,0,"Объедините все ингредиенты в блендере и смешивайте на высокой скорости до однородной массы. Подавать в охлажденном стекле, украшенном горько -сладкой шоколадной стружкой.",2 scoops ,2 унция 
Amaretto Sour,13731,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg,Collins Glass,Amaretto,Sour mix,0,0,0,Встряхнуть и напрягать. Украсить вишней и апельсиновый кусочек.,1 1/2 унция ,3 унция 
Amaretto Stinger,11028,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/vvop4w1493069934.jpg,Коктейльный бокал,Amaretto,White Creme de Menthe,0,0,0,"Хорошо встряхните ингредиенты с потрескавшимся льдом, напрягайтесь в коктейльный стакан и подайте.",1 1/2 унция ,3/4 унция 
Amaretto Stone Sour,14306,Алкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/xwryyx1472719921.jpg,Collins Glass,Amaretto,Sour mix,Orange juice,0,0,Встряхнуть и подавать на льду,1 часть ,1 часть 
Amaretto Stone Sour #3,16100,Алкогольный,Другое,http://www.thecocktaildb.com/images/media/drink/wutxqr1472720012.jpg,Хайбол,Sour mix,Amaretto,Tequila,Orange juice,0,"Встряхните кислый микс, текила и амаретто со льдом. Процедить в бокал с высоким мячом. Добавьте всплеск OJ. Украсить апельсиновым кусочком и вишней.",2 унция ,2 унция 
Amaretto Sunrise,14578,Алкогольный,Обычный напиток,http://www.thecocktaildb.com/images/media/drink/akcpsh1493070267.jpg,Collins Glass,Amaretto,Orange juice,Grenadine,0,0,"Смешайте амаретто и апельсиновый сок. Вылейте в стекло, а затем добавьте гренадин, пока не увидите восход солнца.",1 сантилитр ,4 унция 
